name,birth,death,age
MANL0391 M. Manlius (51) T. f. A. n. Arn. Sab. Tro. Ste. Capitolinus,-425,-384,41
POMP3934  Pompeia (54),-125,-46,79
FABI0396 Q. Fabius (48) M. f. Q. n. Ambustus,-425,-389,36
"FOLI0402 M. Folius (1, 2) M. f. (Flaccinator)",-450,-390,60
ALFE4126 Sex. Alfenus (1),-125,-80,45
LICI4171 -. Licinius (6) Crassus,-200,-114,86
CLAU4213 -. Claudius (60) Asellus,-250,-154,96
LICI4214  Licinia (178),-250,-154,96
FABI4234 -. Fabius (51) Buteo,-300,-220,80
SERG4265 M.? Sergius (1) (Catilina?),-150,-80,70
SERV4304  Servilia (104),-125,-30,95
OCTA4346 -. Octavius (B) C. f. Balbus,-75,-41,34
CURT4412 C. Curtius (1),-150,-80,70
FUFI4421 C. Fufius (12) Cita,-100,-52,48
AURI4546 A. Aurius (2) Clu. Melinus,-125,-80,45
CAEC4547 Q. Caecilius (21),-125,-80,45
FELG4550 C. Felginas (Felginas) Vot.,-100,-48,52
GRAN4551 A. Granius (2) Fal.,-100,-48,52
TANU4555 L. Tanusius (1),-125,-80,45
TITI4556 Cn. Titinius (2),-125,-80,45
VOLU4557 M. Volumnius (5),-125,-80,45
VOLU4558 -. Volumnius (9),-75,-42,33
CLON4560 -. Clonius (or Cluvius) (not in RE),-150,-104,46
VETT4597 -. Vettius (not in RE) Salassus,-100,-41,59
CAPA4639  Caparronia (not in RE),-275,-266,9
EGNA4691 -. Egnatius (6),-75,-41,34
EGNA4692 -. Egnatius (6),-75,-41,34
ARRU4697 -. Arruntius (2),-100,-43,57
ARRU4698 -. Arruntius (cf. 2),-100,-41,59
VETU4701 -. Vetulinus (not in RE) Vetulinus,-75,-41,34
ANON4722  - (Kleopatra 20) Philopater,-69,-30,39
GENU0489 L. Genucius (14) M. f. Cn. n. Aventinensis,-400,-362,38
"BAEB5095 -. Baebius (not in RE, cf. 17)",-125,-80,45
CONS5096 L. Considius (4),-125,-80,45
DOMI5097 -. Domitius (not in RE),-125,-80,45
LAET5098 P. Laetorius (cf. Plaetorius 11),-125,-82,43
VALE0051 P. Valerius (301) P. f. Volus. n. Poplicola,-525,-460,65
PAPI5100 C. Papius (12) Mutilus,-125,-80,45
SALT5101 Sex. Saltius (Saltius),-125,-80,45
PERP5106 -. (Perperna) (cf. 6),-125,-72,53
VERS5107 -. Versius (1),-125,-71,54
AEMI5108 -. Aemilius (not in RE) (Lepidus or Scaurus),-75,-43,32
LABI5110 -. Labienus (2),-125,-43,82
LIGA5111 -. Ligarius (1),-75,-41,34
OCTA5122 C. Octavius (not in RE),-75,-30,45
TERE5127 M. Terentius (Licinius 110) Varro Lucullus,-75,-42,33
ANON5132 -. - (2) Largus,-100,-41,59
ATIL5134 -. Atilius (6),-100,-42,58
FULV5136 -. Fulvius (3),-100,-43,57
LOLL5137 -. Lollius (2),-150,-82,68
"MAMM5138 -. Mammius (Mamius 1, cf. Memmius 6, 13, 14)",-150,-80,70
MARI5139 -. Marius (2),-150,-80,70
NANN5141 -. Nanneius (Nanneius),-150,-80,70
AURI5145 A. Aurius (3),-150,-80,70
LIGA5147 C. Ligarius (not in RE),-75,-41,34
ANTI5149 L. Antistius (1),-150,-80,70
DECI0515 P. Decius (15) Q. f. Mus,-377,-340,37
AURI5150 L. Aurius (4) (Melinus),-150,-80,70
LAMP5152 M. Lamponius (Lamponius),-125,-80,45
"APON5153 Q. Aponius (1, cf. 6)",-100,-41,59
AURE5154 Q. Aurelius (26),-150,-80,70
VIBI5156 Sex. Vibius (6),-150,-80,70
MANL0536 T. Manlius (cf. 57 or 81) (Torquatus),-375,-340,35
MINU0545  Minucia (68),-350,-337,13
AULI0571 Q. Aulius (2) Q. f. Q. n. Cerretanus,-375,-315,60
DECI0596 P. Decius (16) P. f. Q. n. Mus,-340,-295,45
MINU0614 Ti. Minucius (34) Augurinus,-350,-305,45
OPIM0648 L. Opimius (12) Pansa,-325,-294,31
CAEC0673 L. Caecilius (92) Metellus Denter,-341,-283,58
CORN0674 P. Cornelius (139) Dolabella,-325,-282,43
VIBE0677 Decius Vibellius (1) Campanus,-325,-182,143
VALE0679 L. Valerius (59) (Flaccus),-325,-282,43
DECI0685 P. Decius (17) P. f. P. n. Mus,-325,-279,46
SEXT0693  Sextilia (31),-300,-273,27
ATIL0703 M. Atilius (51) M. f. L. n. Pup. Regulus,-300,-250,50
FABI0709 Q. Fabius (cf. 112) Q. f. Q. n. Maximus Gurges,-300,-265,35
CORN0723 Cn. Cornelius (341) L. f. Cn. n. Scipio Asina,-300,-260,40
IUNI0753 L. Iunius (133) C. f. L. n. Pullus,-300,-249,51
"FABI0077 Q. Fabius (164, cf. 159) K. f.  Vibulanus",-525,-480,45
POST0788 L. Postumius (40) A. f. A. n. Albinus,-275,-216,59
FLAM0793 C. Flaminius (2) C. f. L. n.,-261,-217,44
CORU0800 L. Coruncanius (2),-275,-230,45
IUNI0801 P. Iunius (26),-275,-230,45
ATIL0806 M. Atilius (52) M. f. M. n. Regulus,-263,-216,47
CLAU0810 M. Claudius (220) M. f. M. n. Marcellus,-270,-208,62
ATIL0813 C. Atilius (48) M. f. M. n. Regulus,-263,-225,38
CORN0817 Cn. Cornelius (345) L. f. L. n. Scipio Calvus,-256,-211,45
MINU0820 M. Minucius (52) C. f. C. n. Rufus,-275,-216,59
AEMI0826 L. Aemilius (118) M. f. M. n. Paullus,-250,-216,34
CORN0832 P. Cornelius (330) L. f. L. n. Scipio,-255,-211,44
ANTI0842 M. Antistius (15),-250,-82,168
SERV0852 Cn. Servilius (61) P. f. Q. n. Geminus,-257,-216,41
CLAU0858 Ap. Claudius (293) P. f. Ap. n. Pulcher,-247,-211,36
SEMP0860 Ti. Sempronius (32) Blaesus,-250,-217,33
CENT0861 C. Centenius (1),-250,-217,33
SEMP0866 Ti. Sempronius (51) Ti. f. Ti. n. Gracchus,-250,-212,38
ATIL0875 L. Atilius (13),-250,-216,34
FURI0876 L. Furius (35) Bibaculus,-250,-216,34
MANL0088 Cn. Manlius (19) P. f. - n. Cincinnatus,-525,-480,45
CANT0892 L. Cantilius (1),-250,-216,34
FLOR0893  Floronia (1),-250,-216,34
OPIM0894  Opimia (14),-250,-216,34
FULV0904 Cn. Fulvius (43) Cn. f. Cn. n. Centumalus,-245,-210,35
QUIN0916 T. Quinctius (38) L. f. L. n. Crispinus,-250,-208,42
MENE0096 T. Menenius (17) Agrippae f. C. n. Lanatus,-525,-476,49
"ATIL0964 L. Atilius (15, cf. 13, 14, 16)",-225,-216,9
OGUL0973 M. Ogulnius (3),-250,-196,54
QUIN0974 D. Quinctius (7),-250,-210,40
FLAM0989 C. Flaminius (3) C. f. C. n.,-236,-218,18
MANL0998 A. Manlius (11),-250,-208,42
