country,continent,lifeExp,pop,gdpPercap
"POST1728 A. Postumius (33, cf. 32, 34) Albinus",Violent,53,53,-89
DIDI1776 T. Didius (5) T. f. Sex. n.,Violent,61,61,-89
PORC1841 L. Porcius (7) M. f. M. n. Pap. Cato,Violent,61,61,-89
SEMP1894 A. Sempronius (17) Asellio,Violent,36,36,-89
"GABI1920 A. Gabinius (9, cf. 8)",Violent,36,36,-89
AQUI1757 M'. Aquillius (11) M'. f. M'. n.,Violent,62,62,-88
POMP1805 Q. Pompeius (39) Q. f. A.? n. Rufus,Violent,41,41,-88
SULP1886 P. Sulpicius (92) (Rufus),Violent,36,36,-88
GRAT1933 M. Gratidius (1) Cor.,Violent,37,37,-88
POMP3866 Q. Pompeius (40) Rufus,Violent,87,87,-88
ANTO1705 M. Antonius (28) M. f. M. n.,Violent,56,56,-87
LUTA1731 Q. Lutatius (7) Q. f. Catulus,Violent,62,62,-87
LICI1780 P. Licinius (61) M. f. P. n. Crassus (Dives),Violent,63,63,-87
IULI1798 C. Iulius (135) L. f. Caesar Strabo Vopiscus,Violent,43,43,-87
CORN1872 L. Cornelius (272) Merula,Violent,43,43,-87
OCTA1873 Cn. Octavius (20) Cn. f. Cn. n.,Violent,43,43,-87
CORN1883 P. Cornelius (203) Lentulus,Violent,38,38,-87
AEBU1913 D. Aebutius (3) D. f. Cor.,Violent,38,38,-87
ANCH1928 Q. Ancharius (2),Violent,38,38,-87
MILO1941 C. Milonius (2),Violent,38,38,-87
COEL1956 P. Coelius (Caelius 16) Caldus,Violent,38,38,-87
LICI3868 -. Licinius (50) Crassus Dives,Violent,88,88,-87
LUCI1938 Sex. Lucilius (15),Violent,39,39,-86
CAEL3755 -. Caelius (not in RE),Violent,39,39,-86
VALE1802 L. Valerius (178) C.? f. L. n. Flaccus,Violent,50,50,-85
FLAV1946 C. Flavius (88) Fimbria,Violent,30,30,-85
CORN1871 L. Cornelius (106) L. f. L. n. Cinna,Violent,41,41,-84
FABI1964 C. Fabius (82) C. f. Q. n. Mae. Hadrianus,Violent,67,67,-83
MUCI1692 Q. Mucius (22) P. f. P. n. Scaevola 'Pontifex',Violent,58,58,-82
NORB1777 C. Norbanus (5) (Balbus),Violent,68,68,-82
DOMI1816 L. Domitius (26) Cn. f. Cn. n. Ahenobarbus,Violent,68,68,-82
PAPI1835 C. Papirius (40) C. f. Carbo Arvina,Violent,42,42,-82
PAPI1843 Cn. Papirius (38) Cn. f. C. n. Carbo,Violent,47,47,-82
IUNI1929 M. Iunius (51) Brutus,Violent,43,43,-82
MARI1940 M. Marius (42) Cor. Gratidianus,Violent,43,43,-82
MARC1947 C. Marcius (43) Censorinus,Violent,29,29,-82
CARR1977 C. Carrinas (1),Violent,43,43,-82
MARI1983 C. Marius (15) C. f. C. n.,Violent,26,26,-82
COEL1995 C. Coelius (6) Antipater,Violent,43,43,-82
FLAV1996 -. Flavius (86) Fimbria,Violent,43,43,-82
LUCR2003 Q. Lucretius (25) Afella (or Ofella),Violent,42,42,-82
VENU2004 -. Venuleius (1),Violent,43,43,-82
PLAE3234 M. Plaetorius (11),Violent,43,43,-82
LAET5098 P. Laetorius (cf. Plaetorius 11),Violent,43,43,-82
LOLL5137 -. Lollius (2),Violent,68,68,-82
ANTI0842 M. Antistius (15),Violent,168,168,-82
DOMI1991 Cn. Domitius (22) Ahenobarbus,Violent,44,44,-81
"LIVI2018 L. Livius (31, Iulius 453) Salinator",Violent,44,44,-81
"BURR1970 P.? Burrenus (Burrienus 1, and RE 3.1070)",Violent,45,45,-80
IUNI1980 L. Iunius (58) L. f. Gal. Brutus Damasippus,Violent,45,45,-80
VALE1989 Q. Valerius (345) Rom. Soranus,Violent,45,45,-80
PAPI2011 C. Papirius (34) (Cn. f.) Carbo,Violent,45,45,-80
DOMI2022 M. Domitius (44) Calvinus,Violent,45,45,-80
VIBI3526 C. Vibius (15) C. f. Pansa,Violent,45,45,-80
LUCR3899 Q. Lucretius (35) Vespillo,Violent,45,45,-80
ALFE4126 Sex. Alfenus (1),Violent,45,45,-80
SERG4265 M.? Sergius (1) (Catilina?),Violent,70,70,-80
CURT4412 C. Curtius (1),Violent,70,70,-80
AURI4546 A. Aurius (2) Clu. Melinus,Violent,45,45,-80
CAEC4547 Q. Caecilius (21),Violent,45,45,-80
TANU4555 L. Tanusius (1),Violent,45,45,-80
TITI4556 Cn. Titinius (2),Violent,45,45,-80
VOLU4557 M. Volumnius (5),Violent,45,45,-80
"BAEB5095 -. Baebius (not in RE, cf. 17)",Violent,45,45,-80
CONS5096 L. Considius (4),Violent,45,45,-80
DOMI5097 -. Domitius (not in RE),Violent,45,45,-80
PAPI5100 C. Papius (12) Mutilus,Violent,45,45,-80
SALT5101 Sex. Saltius (Saltius),Violent,45,45,-80
"MAMM5138 -. Mammius (Mamius 1, cf. Memmius 6, 13, 14)",Violent,70,70,-80
MARI5139 -. Marius (2),Violent,70,70,-80
NANN5141 -. Nanneius (Nanneius),Violent,70,70,-80
AURI5145 A. Aurius (3),Violent,70,70,-80
ANTI5149 L. Antistius (1),Violent,70,70,-80
AURI5150 L. Aurius (4) (Melinus),Violent,70,70,-80
LAMP5152 M. Lamponius (Lamponius),Violent,45,45,-80
AURE5154 Q. Aurelius (26),Violent,70,70,-80
VIBI5156 Sex. Vibius (6),Violent,70,70,-80
THOR2034 L. Thorius (4) Mae. Balbus,Violent,71,71,-79
VALE3113 L. Valerius (310) Praeconinus,Violent,47,47,-78
IUNI1973 M. Iunius (52) Brutus,Violent,40,40,-77
LAEL2056 D. Laelius (5),Violent,48,48,-77
CORN3869 L. Cornelius (327) Scipio Asiagenus Aemilianus,Violent,48,48,-77
SICI2052 Cn. Sicinius (9),Violent,33,33,-76
HIRT1960 -. Hirtuleius (1),Violent,50,50,-75
"MEMM2020 C. Memmius (6, 7) L. f. Gal.",Violent,50,50,-75
HERE2024 C. Herennius (7),Violent,50,50,-75
HIRT2033 L. Hirtuleius (3) L. f.,Violent,50,50,-75
HIRT3707 Q. Hirtuleius (4) L. f. Ser.,Violent,50,50,-75
MARI2053 M. Marius (23),Violent,52,52,-73
COSS2100 L. Cossinius (2) Lem.,Violent,52,52,-73
PERP1986 M. Perperna (6) Veiento,Violent,53,53,-72
PERP5106 -. (Perperna) (cf. 6),Violent,53,53,-72
SERT1818 Q. Sertorius (3) Qui.,Violent,52,52,-71
FABI2013 L. Fabius (84) L. f. Hispaniensis,Violent,54,54,-71
OCTA2057 C. Octavius (55) Graecinus,Violent,54,54,-71
TARQ2058 C. Tarquitius (8) L. f. Fal. Priscus,Violent,54,54,-71
ANTO2146 M. Antonius (not in RE),Violent,54,54,-71
MAEC2148 -. Maecenas (2),Violent,54,54,-71
MANL2149 M. Manlius or Mallius (Manlius 5),Violent,54,54,-71
VERS5107 -. Versius (1),Violent,54,54,-71
ATTI3151 -. Attidius (Atidius 2),Violent,58,58,-67
LICI2103 C. Licinius (112) L. f. Macer,Violent,42,42,-66
CALP2274 Cn. Calpurnius (69) Piso,Violent,36,36,-64
CORN2012 P. Cornelius (240) P. f. P. n. Lentulus Sura,Violent,51,51,-63
CORN3165 C. Cornelius (89) Cethegus,Violent,37,37,-63
SERG1998 L. Sergius (23) Tro. Catilina,Violent,63,63,-62
AURU2369 L. Aurunculeius (6) Cotta,Violent,46,46,-54
TITU2371 Q. Titurius (3) Ser. Sabinus,Violent,46,46,-54
LABE2446 Q. Laberius (6) Durus,Violent,46,46,-54
LICI1981 M. Licinius (68) P. f. M. n. Crassus,Violent,62,62,-53
LICI2372 P. Licinius (63) M. f. (P.? n.) Crassus,Violent,29,29,-53
PETR2447 -. Petronius (84),Violent,47,47,-53
OCTA2451 -. Octavius  (5),Violent,47,47,-53
VARG2452 -. Vargunteius (1),Violent,47,47,-53
"MARC2464 -. (Marcius) (42, cf. 43) Censorinus",Violent,32,32,-53
MEGA2465 -. Megabocchus (1),Violent,32,32,-53
CLOD2219 P. Clodius (48) Ap. f. Pal. Pulcher,Violent,39,39,-52
VIBI3280 C. Vibienus (3),Violent,48,48,-52
FUFI4421 C. Fufius (12) Cita,Violent,48,48,-52
LUCI2502 Sex. Lucilius (16),Violent,49,49,-51
SCRI2443 C. Scribonius (11) C. f. C. n. Curio,Violent,51,51,-49
VULT2549 C. Vulteius (Vulteius) Capito,Violent,51,51,-49
POMP1976 Cn. Pompeius (31) Cn. f. Sex. n. Clu. Magnus,Violent,58,58,-48
